area,target_cost_key,target_cost_label,target_prior_category,predictor_cost_key,predictor_cost_label,predictor_prior_category,n_obs,start_year,end_year,posterior_mean,posterior_median,ci_2_5,ci_97_5,interpretation
Klein Karoo,moveable_assets_or_production_means,Moveable Assets Or Production Means,Fixed repairs,organic_material,Organic Material,Organic fertilizer cost,8,2013,2020,0.320951038092908,0.319943824931457,0.132968033008147,0.514166402768131,Likely positive association
Klein Karoo,fixed_improvements,Fixed Improvements,Fixed repairs,organic_material,Organic Material,Organic fertilizer cost,8,2013,2020,0.323236395607159,0.322799161061721,0.135863409357548,0.513348933392213,Likely positive association
Klein Karoo,permanent_labour,Permanent Labour,Permanent Labour,organic_material,Organic Material,Organic fertilizer cost,8,2013,2020,0.290524779342368,0.292139159231376,0.0297385780546361,0.544502125890256,Likely positive association
Worcester,fuel,Fuel,Fuel,moveable_assets_or_production_means,Moveable Assets Or Production Means,Fixed repairs,13,2013,2025,0.298553721292057,0.300222488904812,0.00287450472006954,0.592524737554546,Likely positive association
Swartland,fuel,Fuel,Fuel,repair_parts_maintenance,"Repair, Parts & Maintenance",Repairs,13,2013,2025,0.304871095985358,0.304855967776249,0.0108571535419512,0.601262948659324,Likely positive association
Breedekloof,moveable_assets_or_production_means,Moveable Assets Or Production Means,Fixed repairs,organic_material,Organic Material,Organic fertilizer cost,8,2013,2020,0.323243402842897,0.322865743371517,0.132307338127023,0.513896666545714,Likely positive association
Worcester,fixed_improvements,Fixed Improvements,Fixed repairs,organic_material,Organic Material,Organic fertilizer cost,8,2013,2020,0.326274910172353,0.325907734819229,0.138360200480781,0.517456057905048,Likely positive association
Worcester,repair_parts_maintenance,"Repair, Parts & Maintenance",Repairs,organic_material,Organic Material,Organic fertilizer cost,8,2013,2020,0.325496819726535,0.325358453143116,0.138563167020102,0.514022421537351,Likely positive association
Paarl,repair_parts_maintenance,"Repair, Parts & Maintenance",Repairs,organic_material,Organic Material,Organic fertilizer cost,8,2013,2020,0.322879707690583,0.323620884384709,0.131208358963807,0.511156039741306,Likely positive association
Olifants River,fuel,Fuel,Fuel,fixed_improvements,Fixed Improvements,Fixed repairs,13,2013,2025,0.304638281725626,0.303787721625196,0.0125414119404617,0.599024393677825,Likely positive association
Klein Karoo,fuel,Fuel,Fuel,repairs_and_maintenance,Repairs And Maintenance,Repairs,13,2013,2025,0.307272611510139,0.306623733136206,0.0151940477112102,0.604844246567431,Likely positive association
Cape South Coast,fuel,Fuel,Fuel,vineyards,Vineyards,Vineyard Repair,13,2013,2025,0.311571783747454,0.311654514268577,0.0208348964641702,0.601315596266658,Likely positive association
Paarl,fuel,Fuel,Fuel,repair_binding_material,Repair & Binding Material,Vineyard Repair,13,2013,2025,0.309861012632909,0.309364723506627,0.0128915368043971,0.609841376827158,Likely positive association
Paarl,permanent_labour,Permanent Labour,Permanent Labour,organic_material,Organic Material,Organic fertilizer cost,8,2013,2020,0.298017956812411,0.29663925446736,0.0435600128962281,0.552450748206459,Likely positive association
Robertson,administration,Administration,Management,organic_material,Organic Material,Organic fertilizer cost,8,2013,2020,0.298796507925178,0.29827609496857,0.0377807577900135,0.557859279445074,Likely positive association
Klein Karoo,fuel,Fuel,Fuel,moveable_assets_or_production_means,Moveable Assets Or Production Means,Fixed repairs,13,2013,2025,0.316684790131487,0.317344814436308,0.0261643103702325,0.605066816138957,Likely positive association
Northern Cape,fixed_improvements,Fixed Improvements,Fixed repairs,organic_material,Organic Material,Organic fertilizer cost,8,2013,2020,0.327949733510421,0.327608470898707,0.142485367170126,0.517198800965467,Likely positive association
Paarl,fuel,Fuel,Fuel,fixed_improvements,Fixed Improvements,Fixed repairs,13,2013,2025,0.322778106153259,0.324671367751545,0.0270289128492747,0.6176303260263,Likely positive association
Olifants River,repair_binding_material,Repair & Binding Material,Vineyard Repair,organic_material,Organic Material,Organic fertilizer cost,8,2013,2020,0.330369352956329,0.330550854784631,0.139779016730036,0.516845656739375,Likely positive association
Swartland,administration,Administration,Management,organic_material,Organic Material,Organic fertilizer cost,8,2013,2020,0.304185708604934,0.304236488400848,0.0500881780941924,0.555807009577777,Likely positive association
Stellenbosch,repair_parts_maintenance,"Repair, Parts & Maintenance",Repairs,organic_material,Organic Material,Organic fertilizer cost,8,2013,2020,0.331432458401826,0.331744045242106,0.141393907563486,0.521810647526718,Likely positive association
Northern Cape,supervision,Supervision,Management,organic_material,Organic Material,Organic fertilizer cost,8,2013,2020,0.307661907965848,0.307907805120638,0.052630619146059,0.569013401104501,Likely positive association
Northern Cape,seasonal_labour_contract_work,Seasonal Labour & Contract Work,Seasonal Labour,organic_material,Organic Material,Organic fertilizer cost,8,2013,2020,0.305581646792391,0.305746565306968,0.0505466031365178,0.564539834183315,Likely positive association
Worcester,permanent_labour,Permanent Labour,Permanent Labour,organic_material,Organic Material,Organic fertilizer cost,8,2013,2020,0.308476128333693,0.30741940348318,0.051336174070145,0.569785830007248,Likely positive association
Breedekloof,fuel,Fuel,Fuel,repair_parts_maintenance,"Repair, Parts & Maintenance",Repairs,13,2013,2025,0.339808518984878,0.343026775742754,0.040389193763143,0.631395992325163,Likely positive association
Robertson,fuel,Fuel,Fuel,repairs_and_maintenance,Repairs And Maintenance,Repairs,13,2013,2025,0.341186458048462,0.342326690466754,0.0436184029376705,0.644295072265026,Likely positive association
Swartland,fuel,Fuel,Fuel,vineyards,Vineyards,Vineyard Repair,13,2013,2025,0.339208730566451,0.338750431995001,0.0366450559335541,0.63486675215217,Likely positive association
Worcester,fuel,Fuel,Fuel,fixed_improvements,Fixed Improvements,Fixed repairs,13,2013,2025,0.341229695587442,0.342493955845809,0.0461012639019929,0.638937258190561,Likely positive association
Robertson,supervision,Supervision,Management,organic_material,Organic Material,Organic fertilizer cost,8,2013,2020,0.3140695840517,0.314978917492905,0.0570846380917888,0.569225183158066,Likely positive association
Stellenbosch,seasonal_labour_contract_work,Seasonal Labour & Contract Work,Seasonal Labour,organic_material,Organic Material,Organic fertilizer cost,8,2013,2020,0.312368223863455,0.312400279600359,0.0575414335996485,0.562582718421876,Likely positive association
Olifants River,vineyards,Vineyards,Vineyard Repair,organic_material,Organic Material,Organic fertilizer cost,8,2013,2020,0.333903506242942,0.335250849940432,0.142857408220786,0.523956249916033,Likely positive association
Olifants River,fuel,Fuel,Fuel,vineyards,Vineyards,Vineyard Repair,13,2013,2025,0.347197911084863,0.347791339688382,0.0564137223374037,0.645959340620635,Likely positive association
Olifants River,repair_parts_maintenance,"Repair, Parts & Maintenance",Repairs,organic_material,Organic Material,Organic fertilizer cost,8,2013,2020,0.338391841104616,0.338596853830446,0.149276581051716,0.528737255887438,Likely positive association
Worcester,moveable_assets_or_production_means,Moveable Assets Or Production Means,Fixed repairs,organic_material,Organic Material,Organic fertilizer cost,8,2013,2020,0.337103145238063,0.336480516343506,0.149068160640501,0.526403659429879,Likely positive association
Worcester,fuel,Fuel,Fuel,vineyards,Vineyards,Vineyard Repair,13,2013,2025,0.363789549354344,0.364223410668309,0.0753791965701182,0.648583523640648,Likely positive association
Olifants River,repairs_and_maintenance,Repairs And Maintenance,Repairs,organic_material,Organic Material,Organic fertilizer cost,8,2013,2020,0.338440076507195,0.338225769750711,0.151195471282549,0.52576634582827,Likely positive association
Paarl,fuel,Fuel,Fuel,repairs_and_maintenance,Repairs And Maintenance,Repairs,13,2013,2025,0.363099143594923,0.363589877399065,0.0634288622315608,0.664064138933643,Likely positive association
Cape South Coast,administration,Administration,Management,organic_material,Organic Material,Organic fertilizer cost,6,2013,2018,0.329575696881637,0.329061106489705,0.0711773859919422,0.586985316926766,Likely positive association
Northern Cape,repair_parts_maintenance,"Repair, Parts & Maintenance",Repairs,organic_material,Organic Material,Organic fertilizer cost,8,2013,2020,0.340600645698673,0.340981188986145,0.154914817208596,0.527222839980933,Likely positive association
Olifants River,administration,Administration,Management,organic_material,Organic Material,Organic fertilizer cost,8,2013,2020,0.32634727442319,0.328326492871305,0.0709988937437517,0.58265205342097,Likely positive association
Worcester,administration,Administration,Management,organic_material,Organic Material,Organic fertilizer cost,8,2013,2020,0.325631105703082,0.324365612383327,0.0750518807761,0.581792200291802,Likely positive association
Stellenbosch,moveable_assets_or_production_means,Moveable Assets Or Production Means,Fixed repairs,organic_material,Organic Material,Organic fertilizer cost,8,2013,2020,0.342513453762533,0.341818884701333,0.155276405315796,0.534484043073283,Likely positive association
Paarl,repair_binding_material,Repair & Binding Material,Vineyard Repair,organic_material,Organic Material,Organic fertilizer cost,8,2013,2020,0.340748241801298,0.340868809061102,0.149197340444531,0.530319674906306,Likely positive association
Olifants River,fuel,Fuel,Fuel,repair_binding_material,Repair & Binding Material,Vineyard Repair,13,2013,2025,0.377799289619786,0.377029077010569,0.0812512805808766,0.672813857421132,Likely positive association
Swartland,supervision,Supervision,Management,organic_material,Organic Material,Organic fertilizer cost,8,2013,2020,0.337037972011765,0.335462030909579,0.0805990941887712,0.596410421841598,Likely positive association
Klein Karoo,fuel,Fuel,Fuel,repair_parts_maintenance,"Repair, Parts & Maintenance",Repairs,13,2013,2025,0.395558375870724,0.395482390503216,0.100558329645869,0.696855458662421,Likely positive association
Swartland,repair_parts_maintenance,"Repair, Parts & Maintenance",Repairs,organic_material,Organic Material,Organic fertilizer cost,8,2013,2020,0.347148962343191,0.345587753919151,0.160169186652213,0.536442405868999,Likely positive association
Stellenbosch,fuel,Fuel,Fuel,moveable_assets_or_production_means,Moveable Assets Or Production Means,Fixed repairs,13,2013,2025,0.394999133735733,0.395240640166237,0.0980785577425476,0.69351662608603,Likely positive association
Klein Karoo,fuel,Fuel,Fuel,fixed_improvements,Fixed Improvements,Fixed repairs,13,2013,2025,0.3971568607295,0.396570873042327,0.102393537961753,0.694184854228687,Likely positive association
Klein Karoo,repair_parts_maintenance,"Repair, Parts & Maintenance",Repairs,organic_material,Organic Material,Organic fertilizer cost,8,2013,2020,0.347414032473392,0.346947423566322,0.156148936194893,0.537890719272257,Likely positive association
Worcester,vineyards,Vineyards,Vineyard Repair,organic_material,Organic Material,Organic fertilizer cost,8,2013,2020,0.348579416024311,0.348097864810294,0.15869233872119,0.538574903641855,Likely positive association
Robertson,fuel,Fuel,Fuel,vineyards,Vineyards,Vineyard Repair,13,2013,2025,0.398263033753451,0.398773795908125,0.102374374358819,0.697860136703954,Likely positive association
Robertson,fuel,Fuel,Fuel,fixed_improvements,Fixed Improvements,Fixed repairs,13,2013,2025,0.3968244440628,0.395447833578412,0.0992486095546319,0.690915547775901,Likely positive association
Northern Cape,fuel,Fuel,Fuel,repair_parts_maintenance,"Repair, Parts & Maintenance",Repairs,13,2013,2025,0.397943607933911,0.39740122199896,0.10950078507007,0.700369793930102,Likely positive association
Robertson,fuel,Fuel,Fuel,moveable_assets_or_production_means,Moveable Assets Or Production Means,Fixed repairs,13,2013,2025,0.398541183149369,0.39709490525106,0.109886171923868,0.688901072187733,Likely positive association
Paarl,seasonal_labour_contract_work,Seasonal Labour & Contract Work,Seasonal Labour,organic_material,Organic Material,Organic fertilizer cost,8,2013,2020,0.339348178784935,0.341446721622384,0.0797504432807222,0.596216568948025,Likely positive association
Cape South Coast,fuel,Fuel,Fuel,repairs_and_maintenance,Repairs And Maintenance,Repairs,13,2013,2025,0.399472980355762,0.400924176409545,0.102844986040937,0.695830431461183,Likely positive association
Northern Cape,fuel,Fuel,Fuel,vineyards,Vineyards,Vineyard Repair,13,2013,2025,0.4017999578737,0.402214265026925,0.115091619135613,0.697097569819093,Likely positive association
Klein Karoo,administration,Administration,Management,organic_material,Organic Material,Organic fertilizer cost,8,2013,2020,0.341800434989614,0.343082397950896,0.0854658792639127,0.597440530386295,Likely positive association
Olifants River,supervision,Supervision,Management,organic_material,Organic Material,Organic fertilizer cost,8,2013,2020,0.345172424522599,0.345116803517526,0.0797523794832849,0.606147945781687,Likely positive association
Olifants River,fuel,Fuel,Fuel,repair_parts_maintenance,"Repair, Parts & Maintenance",Repairs,13,2013,2025,0.407355304914907,0.409356622120784,0.114488851437639,0.698488677749766,Likely positive association
Northern Cape,fuel,Fuel,Fuel,fixed_improvements,Fixed Improvements,Fixed repairs,13,2013,2025,0.411327595191028,0.409978833370047,0.118556124747441,0.708012180115612,Likely positive association
Paarl,administration,Administration,Management,organic_material,Organic Material,Organic fertilizer cost,8,2013,2020,0.347117657611869,0.347754874355397,0.0890705919999482,0.605220785528349,Likely positive association
Swartland,repair_binding_material,Repair & Binding Material,Vineyard Repair,organic_material,Organic Material,Organic fertilizer cost,8,2013,2020,0.351100859823992,0.351320850296073,0.162315401313621,0.543533909889244,Likely positive association
Olifants River,moveable_assets_or_production_means,Moveable Assets Or Production Means,Fixed repairs,organic_material,Organic Material,Organic fertilizer cost,8,2013,2020,0.351698750976418,0.351786978602629,0.164356797712033,0.541893574686263,Likely positive association
Swartland,fuel,Fuel,Fuel,moveable_assets_or_production_means,Moveable Assets Or Production Means,Fixed repairs,13,2013,2025,0.422999596917007,0.424247028212186,0.129161252230279,0.725003609665917,Likely positive association
Swartland,fuel,Fuel,Fuel,fixed_improvements,Fixed Improvements,Fixed repairs,13,2013,2025,0.423304585949539,0.423698131208067,0.133802088657903,0.71066511322496,Likely positive association
Northern Cape,vineyards,Vineyards,Vineyard Repair,organic_material,Organic Material,Organic fertilizer cost,8,2013,2020,0.355135287655049,0.355368023409852,0.165941952029834,0.546905216262557,Likely positive association
Stellenbosch,supervision,Supervision,Management,organic_material,Organic Material,Organic fertilizer cost,8,2013,2020,0.355474480578707,0.354990340782994,0.10152787284331,0.608394070476796,Likely positive association
Paarl,fuel,Fuel,Fuel,vineyards,Vineyards,Vineyard Repair,13,2013,2025,0.430461078403871,0.428748430301686,0.134393776166958,0.732016281074879,Likely positive association
Paarl,fuel,Fuel,Fuel,moveable_assets_or_production_means,Moveable Assets Or Production Means,Fixed repairs,13,2013,2025,0.428612488608817,0.429056671960979,0.134589930954828,0.721073668833572,Likely positive association
Stellenbosch,administration,Administration,Management,water_costs,Water Costs,Irrigation,13,2013,2025,0.344957817726497,0.343710477013534,0.00410001562581707,0.684821336847686,Likely positive association
Paarl,vineyards,Vineyards,Vineyard Repair,organic_material,Organic Material,Organic fertilizer cost,8,2013,2020,0.357167546883278,0.357101501740871,0.171678831139679,0.548158299962224,Likely positive association
Breedekloof,repair_binding_material,Repair & Binding Material,Vineyard Repair,organic_material,Organic Material,Organic fertilizer cost,8,2013,2020,0.360123221952351,0.360076723081556,0.174516310418328,0.551394431371481,Likely positive association
Swartland,fuel,Fuel,Fuel,repair_binding_material,Repair & Binding Material,Vineyard Repair,13,2013,2025,0.439655588986999,0.439093783205517,0.143145124250861,0.735386557061614,Likely positive association
Olifants River,supervision,Supervision,Management,water_costs,Water Costs,Irrigation,13,2013,2025,0.358323126732005,0.358786334417019,0.0194229459848557,0.691742389004419,Likely positive association
Stellenbosch,fuel,Fuel,Fuel,repair_parts_maintenance,"Repair, Parts & Maintenance",Repairs,13,2013,2025,0.443531010071036,0.444318816676826,0.142991874131291,0.741382149011117,Likely positive association
Worcester,fuel,Fuel,Fuel,repair_parts_maintenance,"Repair, Parts & Maintenance",Repairs,13,2013,2025,0.446496466419707,0.445514896383936,0.15182165395243,0.744244589320149,Likely positive association
Paarl,fuel,Fuel,Fuel,organic_material,Organic Material,Organic fertilizer cost,8,2013,2020,0.458975527731821,0.459530388464658,0.00309130175226726,0.911915546843709,Likely positive association
Paarl,administration,Administration,Management,crop_protection,Crop Protection,Pestacide cost,13,2013,2025,0.368780327028916,0.369086672535757,0.00833131142007749,0.742252079864987,Likely positive association
Stellenbosch,fuel,Fuel,Fuel,vineyards,Vineyards,Vineyard Repair,13,2013,2025,0.453444189275361,0.454004191623625,0.164413082488541,0.7450249361893,Likely positive association
Robertson,seasonal_labour_contract_work,Seasonal Labour & Contract Work,Seasonal Labour,water_costs,Water Costs,Irrigation,13,2013,2025,0.369737754642592,0.370948261749415,0.0304344744273368,0.699811503262788,Likely positive association
Cape South Coast,administration,Administration,Management,water_costs,Water Costs,Irrigation,13,2013,2025,0.375688526201559,0.377656011547966,0.0351706333459205,0.711407880767915,Likely positive association
Robertson,repair_binding_material,Repair & Binding Material,Vineyard Repair,organic_material,Organic Material,Organic fertilizer cost,8,2013,2020,0.363564765062621,0.363822351035654,0.176695859916479,0.552673537425073,Likely positive association
Klein Karoo,seasonal_labour_contract_work,Seasonal Labour & Contract Work,Seasonal Labour,water_costs,Water Costs,Irrigation,13,2013,2025,0.382705543259378,0.38331224352434,0.0467501627742355,0.724283048901298,Likely positive association
Swartland,seasonal_labour_contract_work,Seasonal Labour & Contract Work,Seasonal Labour,organic_material,Organic Material,Organic fertilizer cost,8,2013,2020,0.369646143876275,0.370293314060436,0.108764317630637,0.627430676710099,Likely positive association
Olifants River,permanent_labour,Permanent Labour,Permanent Labour,fertilizer,Fertilizer,Fertilization Cost,13,2013,2025,0.247162594396357,0.246320848283075,0.00145468611101362,0.494680113300055,Likely positive association
Klein Karoo,fuel,Fuel,Fuel,vineyards,Vineyards,Vineyard Repair,13,2013,2025,0.466808427346072,0.465604928931656,0.166575951206365,0.756113923780308,Likely positive association
Northern Cape,repair_parts_maintenance,"Repair, Parts & Maintenance",Repairs,water_costs,Water Costs,Irrigation,13,2013,2025,0.436956745144064,0.438012741884977,0.0104300774008224,0.876912576627876,Likely positive association
Olifants River,permanent_labour,Permanent Labour,Permanent Labour,water_costs,Water Costs,Irrigation,13,2013,2025,0.388345317098724,0.387727435057665,0.049908919021508,0.724729418112046,Likely positive association
Robertson,permanent_labour,Permanent Labour,Permanent Labour,herbicide_control,Herbicide Control,Herbacide Cost,11,2013,2025,0.390531989807695,0.390408463464392,0.00605335521257312,0.779197251475418,Likely positive association
Breedekloof,fuel,Fuel,Fuel,herbicide_control,Herbicide Control,Herbacide Cost,11,2013,2025,0.473938376066606,0.472562187738826,0.0353959828611609,0.909971830096086,Likely positive association
Cape South Coast,fuel,Fuel,Fuel,repair_parts_maintenance,"Repair, Parts & Maintenance",Repairs,13,2013,2025,0.466155025168804,0.465811906620662,0.176162613180488,0.758301992741358,Likely positive association
Klein Karoo,permanent_labour,Permanent Labour,Permanent Labour,crop_protection,Crop Protection,Pestacide cost,13,2013,2025,0.396111262188015,0.393763978703181,0.0233613735276832,0.765725714479272,Likely positive association
Worcester,repair_binding_material,Repair & Binding Material,Vineyard Repair,water_costs,Water Costs,Irrigation,13,2013,2025,0.441123485227889,0.439343458491545,0.00962827443167259,0.871392841265016,Likely positive association
Worcester,water_costs,Water Costs,Irrigation,repair_binding_material,Repair & Binding Material,Vineyard Repair,13,2013,2025,0.434534458451674,0.435216802813222,0.00804359092355199,0.854184101717236,Likely positive association
Breedekloof,vineyards,Vineyards,Vineyard Repair,organic_material,Organic Material,Organic fertilizer cost,8,2013,2020,0.365175534660323,0.365262750186532,0.177222614560228,0.556112201749028,Likely positive association
Northern Cape,seasonal_labour_contract_work,Seasonal Labour & Contract Work,Seasonal Labour,water_costs,Water Costs,Irrigation,13,2013,2025,0.390141217114538,0.39011775380313,0.0555192597211839,0.725476330680648,Likely positive association
Northern Cape,supervision,Supervision,Management,water_costs,Water Costs,Irrigation,13,2013,2025,0.391202852471353,0.392418397730536,0.0595249038823809,0.729383263173777,Likely positive association
Swartland,supervision,Supervision,Management,crop_protection,Crop Protection,Pestacide cost,13,2013,2025,0.399558283924129,0.397211682401491,0.0287766705806719,0.772070654233302,Likely positive association
Robertson,organic_material,Organic Material,Organic fertilizer cost,water_costs,Water Costs,Irrigation,8,2013,2020,0.415213836298469,0.414736687137166,0.0161924568021431,0.81421613217269,Likely positive association
Robertson,water_costs,Water Costs,Irrigation,organic_material,Organic Material,Organic fertilizer cost,8,2013,2020,0.443608383122096,0.441086735088945,0.023517927590301,0.859931734827859,Likely positive association
Breedekloof,supervision,Supervision,Management,water_costs,Water Costs,Irrigation,13,2013,2025,0.394113739909253,0.394944011485997,0.0637406588616009,0.72985924321492,Likely positive association
Klein Karoo,administration,Administration,Management,herbicide_control,Herbicide Control,Herbacide Cost,11,2013,2025,0.398183163246546,0.400598993214535,0.0122559271455506,0.780752709695446,Likely positive association
Robertson,fertilizer,Fertilizer,Fertilization Cost,water_costs,Water Costs,Irrigation,13,2013,2025,0.424768842125725,0.424701980616699,0.0620263545607625,0.783548400606034,Likely positive association
Robertson,water_costs,Water Costs,Irrigation,fertilizer,Fertilizer,Fertilization Cost,13,2013,2025,0.446470038966141,0.446930201311496,0.0820094717431775,0.808377989222813,Likely positive association
